
#################################################################
# Summary Statistics
#################################################################

DIC = 2453.434

                             Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.SC1.Tillering.Tour.herb   0.218 0.167 0.003 0.011 0.080 0.185 0.323 0.532 0.602
p.SC1.Flowering.Detritivore 0.126 0.096 0.008 0.013 0.051 0.105 0.183 0.314 0.366
p.SC1.Flowering.Rice.herb   0.758 0.150 0.363 0.474 0.686 0.784 0.866 0.944 0.960
p.SC1.Flowering.Tour.herb   0.115 0.118 0.003 0.005 0.029 0.075 0.162 0.365 0.433
p.SC1.Ripening.Detritivore  0.022 0.026 0.001 0.001 0.005 0.013 0.028 0.072 0.098
p.SC1.Ripening.Rice.herb    0.918 0.163 0.267 0.511 0.933 0.968 0.984 0.995 0.997
p.SC1.Ripening.Tour.herb    0.060 0.154 0.000 0.001 0.004 0.012 0.035 0.428 0.679
p.SO1.Seedling.Detritivore  0.593 0.222 0.018 0.063 0.497 0.637 0.753 0.874 0.903
p.SO1.Seedling.Rice.herb    0.312 0.181 0.039 0.062 0.190 0.287 0.403 0.648 0.795
p.SO1.Seedling.Tour.herb    0.094 0.165 0.001 0.001 0.008 0.029 0.092 0.481 0.680
p.SO1.Tillering.Detritivore 0.657 0.225 0.013 0.033 0.629 0.720 0.789 0.873 0.895
p.SO1.Tillering.Rice.herb   0.232 0.144 0.044 0.063 0.144 0.211 0.284 0.434 0.671
p.SO1.Tillering.Tour.herb   0.111 0.206 0.002 0.004 0.020 0.044 0.089 0.767 0.854
p.SO1.Flowering.Detritivore 0.358 0.171 0.021 0.044 0.248 0.357 0.470 0.642 0.700
p.SO1.Flowering.Rice.herb   0.553 0.193 0.070 0.134 0.454 0.583 0.681 0.816 0.885
p.SO1.Flowering.Tour.herb   0.090 0.155 0.002 0.003 0.011 0.028 0.070 0.491 0.598
p.SO1.Ripening.Detritivore  0.080 0.071 0.002 0.005 0.026 0.059 0.114 0.226 0.266
p.SO1.Ripening.Rice.herb    0.852 0.211 0.059 0.171 0.849 0.919 0.959 0.987 0.992
p.SO1.Ripening.Tour.herb    0.068 0.193 0.000 0.000 0.002 0.007 0.021 0.681 0.823
